SppName_ICTV_MSL2018b,emergence_year,death_count_start,death_count_end,death_period,emergence_country,emergence_continent,death_burden_since_1950,death_burden_notes,death_burden_references,vaccination_effects,vaccine_notes,vaccination_references,hOrder,reservoir.status,spillover.capacity,CFR_stat_lower,CFR_stat_upper,CFR_avg,CFR_stat_notes,CFR_stat_ref,CFR_deaths,CFR_cases,CFR_country,CFR_timeline,CFR_case_prop,CFR_country_specific,CFR_country_references,notes,human.trans,IsVectorBorne,Tr.primary,vFamily,GenomeType,class,spill_type,phylo_dist,tot_cases,GDP,country_case_prop,contr_GDP,weighted_GDP,VirusFamilyPublicationCount,VirusSppPublicationCount,ExclusiveCytoplasmicReplication,ReservoirNspecies
Irkut lyssavirus,2007,2007,2020,13,Russia,Europe,3,"First case in Russia, 2 in China",Teng et al. 2018,Y,Rabies vaccine believed to protect against related lyssaviruses,Teng et al. 2018,CHIROPTERA,1,1,100,100,100,,Warrell and Warrell 2017,1,1,China,not_specified,subset,100,Warrell and Warrell 2017,,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,8682,0.5,4341,9819,1931,75,1,1308
Japanese encephalitis virus,1871,1950,2019,69,Japan,Asia,73079,First human case occurred in 1871 in Japan. See death_count_calculations.csv for death count calculations,GIDEON; Kumar Pant et al. 2017,Y,"Vaccination has been occuring for 50+ years, though there has been a marked increase in the last two decades. Quan et al. 2020 estimated that vaccination reduced cases by 45,000 in 2015 alone",Quan et al. 2020,AVES,1,1,20,30,25,,CDC Yellow Book: Chapter 4. https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/japanese-encephalitis,1500,6061,India,2005,subset,24.7483914,GIDEON,"Concentrated in China, India, and the Southeast Asian peninsula. Pigs are the amplifying hosts--an effective control strategy has been vaccinating pigs. Case counts from 2011 Uttar Pradesh outbreak",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,bridged,623.81,11420,1923,0.53073555,1020.60447,1923,8265,4399,1,6264
Japanese encephalitis virus,1871,1950,2019,69,Japan,Asia,73079,First human case occurred in 1871 in Japan. See death_count_calculations.csv for death count calculations,GIDEON; Kumar Pant et al. 2017,Y,"Vaccination has been occuring for 50+ years, though there has been a marked increase in the last two decades. Quan et al. 2020 estimated that vaccination reduced cases by 45,000 in 2015 alone",Quan et al. 2020,AVES,1,1,20,30,25,,CDC Yellow Book: Chapter 4. https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/japanese-encephalitis,1380,5359,India,2011,subset,25.751073,GIDEON,"Concentrated in China, India, and the Southeast Asian peninsula. Pigs are the amplifying hosts--an effective control strategy has been vaccinating pigs. Case counts from 2011 Uttar Pradesh outbreak",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,bridged,623.81,11420,1923,0.46926445,902.395534,1923,8265,4399,1,6264
Kokobera virus,1983,1983,2020,37,Australia,Australia,0,First isolated from mosquitoes in 1960. Human infections are not well monitored,Gyawali et al. 2019,N,NA,Gyawali et al. 2019,DIPROTODONTIA,1,1,0,0,0,,Gyawali et al. 2019,0,3,Australia,1983-1985,subset,0,Gyawali et al. 2019,"Pathogenicity in humans in somewhat unclear. Discovered via isolation in mosquitoes. Mostly serological data, but a few human lab confirmed cases. No reported deaths",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,317.2,3,57613,1,57613,57613,8265,50,1,143
Kyasanur Forest disease virus,,1957,2017,60,India,Asia,396,Only recorded outbreaks have been in India. 9908 cases recorded up through 2017 according to GIDEON. We were unable to find death counts and thus estimated total deaths with a 4% CFR rate,GIDEON,Y,NA,CDC. https://www.cdc.gov/vhf/kyasanur/pdf/factsheet.pdf,PRIMATES,1,1,3,5,4,,CDC. https://www.cdc.gov/vhf/kyasanur/pdf/factsheet.pdf,28,823,India,2003-2012,subset,3.40218712,Holbrook et al. 2012,,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,0,823,1923,1,1923,1923,8265,115,1,502
Laguna Negra orthohantavirus,unknown,1993,2019,26,South America,South_America,1041,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON,N,NA,GIDEON,RODENTIA,1,1,15,15,15,,Guth et al. 2019; Escalera-Antezana et al. 2019,6,40,Bolivia,2018,subset,15,Escalera-Antezana et al. 2019,This virus species includes the variant Rio Mamore,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,40,3394,1,3394,3394,99,85,1,2368
Lassa mammarenavirus,1969,1969,2020,51,Nigeria,Africa,1633,102 deaths in Liberia; 391 in Sierra Leone; 43 in Benin; 1 in Ghana; 4 in Togo; and 1092 in Nigeria. See death_count_calculations.csv for death count calculations,GIDEON,N,NA,GIDEON,RODENTIA,1,1,1,1,1,,WHO. https://www.afro.who.int/health-topics/lassa-fever,244,1181,Nigeria,2020,subset,20.6604572,GIDEON,"Outbreak across 27 states, all confirmed cases. Overall case fatality rate is 1% (high rate of asymptomatic cases)",3,0,bodily_fluids,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,2921,1969,0.40431359,796.093461,1090.95823,875,1320,1,2368
Lassa mammarenavirus,1969,1969,2020,51,Nigeria,Africa,1633,102 deaths in Liberia; 391 in Sierra Leone; 43 in Benin; 1 in Ghana; 4 in Togo; and 1092 in Nigeria. See death_count_calculations.csv for death count calculations,GIDEON,N,NA,GIDEON,RODENTIA,1,1,1,1,1,,WHO. https://www.afro.who.int/health-topics/lassa-fever,155,1740,Sierra Leone,2008-2012,subset,8.90804598,GIDEON,Overall case fatality rate is 1% (high rate of asymptomatic cases),3,0,bodily_fluids,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,2921,495,0.59568641,294.864772,1090.95823,875,1320,1,2368
Louping ill virus,1962,1962,2020,58,UK,Europe,0,NA,Jeffries et al. 2014,N,NA,Jeffries et al. 2014,CETARTIODACTYLA,1,1,2.22222222,2.22222222,2.22222222,,Jeffries et al. 2014,1,45,UK,1934-2014,all_recorded,2.22222222,Jeffries et al. 2014,Most cases are asymptomatic or result in mild flu-like symptoms,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,192.92,45,39758,1,39758,39758,8265,125,1,339
Lujo mammarenavirus,2008,2008,2020,12,South Africa,Africa,4,NA,CDC. https://www.cdc.gov/vhf/lujo/index.html,N,NA,CDC. https://www.cdc.gov/vhf/lujo/index.html,RODENTIA,1,1,80,80,80,,CDC. https://www.cdc.gov/vhf/lujo/index.html,4,5,South Africa,2008,all_recorded,80,CDC. https://www.cdc.gov/vhf/lujo/index.html,Nosocomial outbreak,1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,5,6151,1,6151,6151,875,169,1,2368
Lymphocytic choriomeningitis mammarenavirus,1960,1960,2020,60,USA,North_America,1,NA,Warkel et al. 1973,N,NA,CDC Fact Sheet. 2013. Lymphocytic Choriomengitis,RODENTIA,1,1,1,1,1,,CDC Fact Sheet. 2013. Lymphocytic Choriomengitis,1,181,USA,not_specified,subset,0.552486188,CDC Fact Sheet. 2013. Lymphocytic Choriomengitis,"Only three outbreaks since 1960, only one of which was not a laboratory outbreak. This single natural outbreak was distributed by pet hamsters and included 181 cases and one death of a 19 year old girl",1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,100,60055,1,60055,60055,875,3957,1,2368
Macacine alphaherpesvirus 1,1932,1950,2019,69,USA,North_America,21,NA,Eberle and Jones-Engel 2018,N,NA,Eberle and Jones-Engel 2018,PRIMATES,1,1,80,80,80,,Eberle and Jones-Engel 2018,21,50,USA,1932-2019,all_recorded,42,CDC. https://www.cdc.gov/herpesbvirus/cause.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fherpesbvirus%2Fcause-incidence.html,Only 1 case of human-to-human transmission,1,0,direct_contact_with_animal,Herpesviridae,dsDNA,Mammalia,direct,0,50,60055,1,60055,60055,2882,45179,0,502
Machupo mammarenavirus,1959,1959,2014,55,Bolivia,South_America,296,NA,Patterson et al. 2014,N,NA,Patterson et al. 2014,RODENTIA,1,1,25,35,30,,Patterson et al. 2014,296,1370,Bolivia,1959-2014,all_recorded,21.6058394,Patterson et al. 2014,,2,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,1370,3394,1,3394,3394,875,314,1,2368
Mammalian 1 orthobornavirus,1999,1999,2019,20,Germany,Europe,11,NA,Helmut Niller et al. 2020,N,NA,Helmut Niller et al. 2020,EULIPOTYPHLA,1,1,78.5714286,78.5714286,78.5714286,,Helmut Niller et al. 2020,11,14,Germany,1999-2019,all_recorded,78.5714286,Helmut Niller et al. 2020,"Recently discovered to cause severe and often fatal encephalitis in humans in 2018. Infections are believed to be rare, but severe when they occur",1,0,unknown,Bornaviridae,ssRNA(-),Mammalia,direct,192.92,14,44976,1,44976,44976,277,15,0,428
Mammalian 1 orthobornavirus,1999,1999,2019,20,Germany,Europe,11,NA,Helmut Niller et al. 2020,N,NA,Helmut Niller et al. 2020,RODENTIA,1,1,78.5714286,78.5714286,78.5714286,,Helmut Niller et al. 2020,11,14,Germany,1999-2019,all_recorded,78.5714286,Helmut Niller et al. 2020,"Recently discovered to cause severe and often fatal encephalitis in humans in 2018. Infections are believed to be rare, but severe when they occur",1,0,unknown,Bornaviridae,ssRNA(-),Mammalia,direct,179.65,14,44976,1,44976,44976,277,15,0,428
Marburg marburgvirus,1975,1975,2020,45,South Africa,Africa,468,Total of 468 deaths and 558 cases since first natural emergence in 1975; excluded Germany lab-caused outbreak,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,N,NA,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,CHIROPTERA,1,1,80.9199319,80.9199319,80.9199319,Total of 468 deaths and 558 cases since first natural emergence in 1975; excluded Germany lab-caused outbreak,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,329,374,Angola,2004,subset,87.9679144,GIDEON,Listed on GIDEON as the two most notable outbreaks. Represent the majority of reported cases,3,0,bodily_fluids,Filoviridae,ssRNA(-),Mammalia,direct,192.92,477,4247,0.78406709,3329.93291,3429.90985,1729,164,1,1308
Marburg marburgvirus,1975,1975,2020,45,South Africa,Africa,468,Total of 468 deaths and 558 cases since first natural emergence in 1975; excluded Germany lab-caused outbreak,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,N,NA,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,CHIROPTERA,1,1,80.9199319,80.9199319,80.9199319,Total of 468 deaths and 558 cases since first natural emergence in 1975; excluded Germany lab-caused outbreak,WHO. https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease,69,103,Democratic Republic of Congo,1998,subset,66.9902913,GIDEON,Listed on GIDEON as the two most notable outbreaks. Represent the majority of reported cases,3,0,bodily_fluids,Filoviridae,ssRNA(-),Mammalia,direct,192.92,477,463,0.21593291,99.9769392,3429.90985,1729,164,1,1308
Menangle pararubulavirus,1997,1997,2020,23,Australia,Australia,0,NA,Wildlife Health Australia 2016. https://www.wildlifehealthaustralia.com.au/Portals/0/Documents/FactSheets/Mammals/Menangle%20Virus%20Aug%202016%20(1.1).pdf; Guth et al. 2019,N,NA,Wildlife Health Australia 2016. https://www.wildlifehealthaustralia.com.au/Portals/0/Documents/FactSheets/Mammals/Menangle%20Virus%20Aug%202016%20(1.1).pdf; Guth et al. 2019,CHIROPTERA,1,0,0,0,0,,Guth et al. 2019,0,2,Australia,1997,subset,0,Wildlife Health Australia 2016. https://www.wildlifehealthaustralia.com.au/Portals/0/Documents/FactSheets/Mammals/Menangle%20Virus%20Aug%202016%20(1.1).pdf,,1,0,unknown,Paramyxoviridae,ssRNA(-),Mammalia,bridged,192.92,2,57613,1,57613,57613,3526,0,1,1308
Middle East respiratory syndrome-related virus,2012,2012,2020,8,Saudi Arabia,Asia,886,NA,WHO. http://www.emro.who.int/health-topics/mers-cov/mers-outbreaks.html,N,NA,WHO. http://www.emro.who.int/health-topics/mers-cov/mers-outbreaks.html,CHIROPTERA,1,0,34.42113442,34.42113442,34.42113442,Total of 2574 confirmed cases and 886 deaths,WHO. http://www.emro.who.int/health-topics/mers-cov/mers-outbreaks.html,804,2167,Saudi Arabia,2012-2020,subset,0.371019843,WHO. http://www.emro.who.int/health-topics/mers-cov/mers-outbreaks.html,NA,3,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,2167,20761,1,20761,20761,1637,1454,1,1308
Monkeypox virus,1970,1970,2020,50,Democratic Republic of Congo,Africa,967,NA,GIDEON; Beer and Rao 2019,Y,NA,GIDEON; Beer and Rao 2019,RODENTIA,1,1,0,11,5.5,,GIDEON; Beer and Rao 2019,56,5060,Democratic Republic of Congo,2019,subset,1.10671937,GIDEON,Longest chain of between-human transmission is 4 serial cases.,2,0,respiratory,Poxviridae,dsDNA,Mammalia,direct,179.65,9654,463,0.52413507,242.674539,463,1531,301,1,2368
Monkeypox virus,1970,1970,2020,50,Democratic Republic of Congo,Africa,967,NA,GIDEON; Beer and Rao 2019,Y,NA,GIDEON; Beer and Rao 2019,RODENTIA,1,1,0,11,5.5,,GIDEON; Beer and Rao 2019,171,4594,Democratic Republic of Congo,2020,subset,3.72224641,GIDEON,Longest chain of between-human transmission is 4 serial cases.,2,0,respiratory,Poxviridae,dsDNA,Mammalia,direct,179.65,9654,463,0.47586493,220.325461,463,1531,301,1,2368
Murray Valley encephalitis virus,1917,1950,2018,68,Australia,Australia,45,"Total of 45 deaths and 210 cases: 49 cases 1950-1969, proxied 11 deaths with 22.5% CFR; 13 deaths and 58 cases in 1974; 8 additional cases 1970-1979, proxied 2 deaths with 22.5% CFR; 13 deaths and 77 cases 1979-2006; 1 death/1 case 2008; 2 deaths/3 cases 2009; 3 deaths/11 cases 2011; 0 deaths/2 cases 2015; 0 deaths/1 case 2018",GIDEON,N,NA,GIDEON,AVES,1,1,15,30,22.5,,Selvey et al. 2014,13,58,Australia,1974,subset,22.4137931,Selvey et al. 2014,Endemic to Australia. There's been 6 notable (but always relatively small) outbreaks since it's discovery in 1917--only two after 1950 (1951 and 1974). Outbreak data is from the 1974 (the most recent) outbreak,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,58,57613,1,57613,57613,8265,573,1,6264
Nelson Bay orthoreovirus,2007,2007,2020,13,Japan,Asia,0,NA,Tao et al. 2019,N,NA,Tao et al. 2019,CHIROPTERA,1,1,0,0,0,,Tao et al. 2019,0,1,Japan,2007,all_recorded,0,Tao et al. 2019,Only been one confirmed case in humans. Isolated from a bat 40 years prior,1,0,unknown,Reoviridae,dsRNA,Mammalia,direct,192.92,1,38220,1,38220,38220,2261,45,1,1308
New Jersey vesiculovirus,pre-1950,1950,2020,70,unknown,unknown,0,NA,Fields et al. 1967,N,NA,Fields et al. 1967,CETARTIODACTYLA,1,1,0,0,0,,Fields et al. 1967,0,41,USA,1965,subset,0,Fields et al. 1967,Proxied with Indiana vesiculovirus,1,1,vector_from_animal,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,41,60055,1,60055,60055,1931,6,1,339
Nipah henipavirus,1999,1999,2019,20,Malaysia,Asia,120,"Nipah spillover via a bridge host: First outbreak in Malaysia, spillover via pigs--this was the only outbreak in Malaysia (111 deaths/265 cases). One 2014 outbreak in the Philippines, for which the bridge host is unconfirmed, for which horses are the suspected bridge hosts (9 deaths/17 cases)",Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,N,NA,Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,CHIROPTERA,1,0,42.5531915,42.5531915,42.5531915,111 deaths out of 265 cases in Malaysia; 9 deaths out of 17 cases in the Philippines,GIDEON,111,265,Malaysia,1998,subset,41.8867925,GIDEON,Outbreak spanned one year. Only outbreak in Malaysia. Listed as one of three notable outbreaks on GIDEON,1,0,direct_contact_with_animal,Paramyxoviridae,ssRNA(-),Mammalia,bridged,192.92,265,9951,1,9951,9951,3526,1727,1,1308
Nipah henipavirus,1999,1999,2019,20,Malaysia,Asia,294,Nipah spillover via bats: Spills over ~anually in Bangladesh (223 deaths/312 cases); 3 outbreaks in India (71 deaths/139 cases),Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,N,NA,Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,CHIROPTERA,1,1,65.1884701,65.1884701,65.1884701,294 deaths out of 451 cases in India and Bangladesh,GIDEON,223,312,Bangladesh,2001-2018,subset,71.474359,GIDEON,Listed as a notable outbreak year on GIDEON,3,0,respiratory,Paramyxoviridae,ssRNA(-),Mammalia,direct,192.92,369,1492,0.82113821,1225.13821,1569.08943,3526,1727,1,1308
Nipah henipavirus,1999,1999,2019,20,Malaysia,Asia,294,Nipah spillover via bats: Spills over ~anually in Bangladesh (223 deaths/312 cases); 3 outbreaks in India (71 deaths/139 cases),Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,N,NA,Nikolay et al. 2019; Aditi and Shariff 2019; GIDEON,CHIROPTERA,1,1,65.1884701,65.1884701,65.1884701,294 deaths out of 451 cases in India and Bangladesh,GIDEON,45,66,India,2001,subset,68.1818182,GIDEON,Listed as one of three notable outbreaks on GIDEON,3,0,respiratory,Paramyxoviridae,ssRNA(-),Mammalia,direct,192.92,369,1923,0.17886179,343.95122,1569.08943,3526,1727,1,1308
Omsk hemorrhagic fever virus,1941,1950,2020,70,Russia,Europe,17,"Very little surveillance, typically a mild infection. See death_count_calculations.csv for death count calculations",Ruzek et al. 2010,N,NA,Ruzek et al. 2010,RODENTIA,1,1,0.5,3,1.75,,CDC. https://www.cdc.gov/vhf/omsk/pdf/factsheet.pdf,21,1344,Russia,1946-1958,subset,1.5625,Gritson et al. 2003,Cases recorded between 1946 and 1958. Mortality estimated using averaged CFR. Highest number of cases recorded within a given time period,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,179.65,1344,10956,1,10956,10956,8265,168,1,2368
Orf virus,unknown,1950,2020,70,unknown,unknown,0,NA,GIDEON,Y,NA,GIDEON,CETARTIODACTYLA,1,1,0,0,0,,GIDEON,0,8,USA,1981,subset,0,GIDEON,There have been only 4 cases of human-to-human transmission,1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,direct,192.92,8,60055,1,60055,60055,1531,289,1,339
Orthohepevirus A,1978,1990,2019,29,India,Asia,41316,First outbreak was recognized in 1978 in India. Very difficult to calculate full burden so we started our death count at 1990 and used the GBD 2019 study statistics,http://ghdx.healthdata.org/gbd-results-tool,N,"No FDA approved vaccine. A vaccine was recently approved in China, but most likely did not have a significant effect on our death count",GIDEON,CETARTIODACTYLA,1,1,1,4,2.5,,Guth et al. 2019,2,462,Japan,2007-2013,subset,0.43290043,Kanayama et al. 2015,"Also known as Hepatitis E. Genotypes 1 and 2 are human-specific, while 3 and 4 are zoonotic. Difficult to find outbreaks that have been confirmed to be zoonotic--this is the only one I could find",4,0,fecal_oral,Hepeviridae,ssRNA(+),Mammalia,direct,192.92,462,38220,1,38220,38220,547,81,1,339
Powassan virus,1958,1958,2019,61,Canada,North_America,28,"27 cases total 1958-1998, estimated death count (3) with global CFR estimate; 11 deaths 1999-2016; 14 deaths 2016-2019. Only in the USA and Canada. See death_count_calculations.csv for death count calculations",Fatmi et al. 2017; https://www.cdc.gov/powassan/statistics.html,N,NA,CDC. https://www.cdc.gov/powassan/statistics.html,RODENTIA,1,1,11.6022099,11.6022099,11.6022099,,CDC. https://www.cdc.gov/powassan/statistics.html,21,181,USA,2010-2019,subset,11.6022099,CDC. https://www.cdc.gov/powassan/statistics.html,Highest number of recently reported cases (probably not detected/reported before),1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,179.65,181,60055,1,60055,60055,8265,462,1,2368
Primate T-lymphotropic virus 1,unknown,1950,2020,70,unknown,unknown,0,NA,Zheng et al. 2010,N,NA,Zheng et al. 2010,PRIMATES,1,1,0,0,0,,Zheng et al. 2010,0,3,Cameroon,not_specified,subset,0,Zheng et al. 2010,"Affects primarily rural indigenous populations and hunters. No recorded human deaths. However, it is important to note that very little is known about the pathogen and existing studies are predominantly serological. Case counts calculated from a few confirmed cases in Cameroon (virus first discovered and since predominantly found in bushmeat hunters in Cameroon). Outbreak year proxied with publication date",4,0,bodily_fluids,Retroviridae,ssRNA-RT,Mammalia,direct,0,3,1452,1,1452,1452,1461,0,0,502
Primate T-lymphotropic virus 2,unknown,1950,2020,70,unknown,unknown,0,NA,Maloney et al. 1992,N,NA,Maloney et al. 1992,PRIMATES,1,1,0,0,0,,Maloney et al. 1992,0,9,Brazil,not_specified,subset,0,Maloney et al. 1992,"Affects primarily rural indigenous populations and hunters. No recorded human deaths. However, it is important to note that very little is known about the pathogen and existing studies are predominantly serological. Case counts calculated from a few confirmed cases in Cameroon (virus first discovered and since predominantly found in bushmeat hunters in Cameroon). Outbreak year proxied with publication date",4,0,bodily_fluids,Retroviridae,ssRNA-RT,Mammalia,direct,0,9,9821,1,9821,9821,1461,0,0,502
Primate T-lymphotropic virus 3,unknown,1950,2020,70,unknown,unknown,0,NA,Zheng et al. 2010,N,NA,Zheng et al. 2010,PRIMATES,1,1,0,0,0,,Zheng et al. 2010,0,3,Cameroon,not_specified,subset,0,Zheng et al. 2010,"Affects primarily rural indigenous populations and hunters. No recorded human deaths. However, it is important to note that very little is known about the pathogen and existing studies are predominantly serological. Case counts calculated from a few confirmed cases in Cameroon (virus first discovered and since predominantly found in bushmeat hunters in Cameroon). Outbreak year proxied with publication date",4,0,bodily_fluids,Retroviridae,ssRNA-RT,Mammalia,direct,0,3,1452,1,1452,1452,1461,0,0,502
Pseudocowpox virus,unknown,1950,2020,70,unknown,unknown,0,NA,GIDEON,N,NA,GIDEON,CETARTIODACTYLA,1,1,0,0,0,,GIDEON,0,136,Croatia,1967,subset,0,GIDEON,By far the largest outbreak--only affects people who work with cattle,1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,direct,192.92,136,13177,1,13177,13177,1531,47,1,339
Puumala orthohantavirus,unknown,1980,2018,38,Finland,Europe,267,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010,N,NA,GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010,RODENTIA,1,1,0.1,1,0.55,,Guth et al. 2019,2,6701,Finland,1989-1996,subset,0.02984629,Brummer-Korvenkontio et al. 1999,Zenqiang et al. 2008 reports that PUUV is the causative agent of all hantavirus infections in Finland,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,11983,45670,0.55920888,25539.0695,49360.7441,99,703,1,2368
Puumala orthohantavirus,unknown,1980,2018,38,Finland,Europe,267,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010,N,NA,GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010,RODENTIA,1,1,0.1,1,0.55,,Guth et al. 2019,21,5282,Sweden,1997-2007,subset,0.39757668,Hjertqvist et al. 2010,Analysis of mortality rates from nephropathia epidemica (all cases attributed to PUUV) in Sweden from 1997-2007. Zenqiang et al. 2008 also reports that PUUV is the causative agent of all hantavirus infections in Sweden,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,11983,54043,0.44079112,23821.6745,49360.7441,99,703,1,2368
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CARNIVORA,1,1,100,100,100,,GIDEON,93,93,Angola,2009,subset,100,GIDEON,"The Launda outbreak, stray dogs",1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,4247,0.69402985,2947.54478,5249.33582,1931,1392,1,288
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CARNIVORA,1,1,100,100,100,,GIDEON,29,29,Peru,1990,subset,100,GIDEON; Lopez et al. 1992,"The Launda outbreak, stray dogs",1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,6572,0.21641791,1422.29851,5249.33582,1931,1392,1,288
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CARNIVORA,1,1,100,100,100,,GIDEON,12,12,Brazil,not_specified,subset,100,"da Rosa et al. 2006. Bat-transmitted Human Rabies Outbreaks, Brazilian Amazon. https://dx.doi.org/10.3201%2F1208.050929",,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,9821,0.08955224,879.492537,5249.33582,1931,1392,1,288
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CHIROPTERA,1,1,100,100,100,,GIDEON,93,93,Angola,2009,subset,100,GIDEON,"The Launda outbreak, stray dogs",1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,4247,0.69402985,2947.54478,5249.33582,1931,1392,1,1308
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CHIROPTERA,1,1,100,100,100,,GIDEON,29,29,Peru,1990,subset,100,GIDEON; Lopez et al. 1992,"The Launda outbreak, stray dogs",1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,6572,0.21641791,1422.29851,5249.33582,1931,1392,1,1308
